"","sample","gene","anova_p","mean_between","mean_intra","fdr"
"6851","M8","ENSG00000234367",0.4934,1.6657,1.9161,0.9311
"6852","M8","ENSG00000267702",0.9997,2.0208,2.0208,0.9997
"6853","M8","ENSG00000180116",0.516,-5.0356,-4.4477,0.9365
"6854","M8","ENSG00000238835",0.7187,-1.6103,-2.1803,0.967
"6855","M8","ENSG00000255314",0.1904,-5.7064,-4.415,0.9297
"6856","M8","ENSG00000005075",0.1867,2.8144,2.681,0.9297
"6857","M8","ENSG00000143033",0.251,2.4651,2.6817,0.9297
"6858","M8","ENSG00000257446",0.4817,-0.0028,-0.2031,0.9297
"6859","M8","ENSG00000124201",0.513,4.9017,4.8727,0.9357
"6860","M8","ENSG00000236603",0.5003,-1.9641,-2.3439,0.9346
"6861","M8","ENSG00000181804",0.2061,2.2095,2.3302,0.9297
"6862","M8","ENSG00000144426",0.3354,1.027,1.1392,0.9297
"6863","M8","ENSG00000109511",0.6423,-3.2954,-3.6409,0.9617
"6864","M8","ENSG00000160307",0.5344,-6.2744,-6.6439,0.9436
"6865","M8","ENSG00000214820",0.1845,-0.2871,-0.765,0.9297
"6866","M8","ENSG00000130985",0.4187,5.0971,5.0403,0.9297
"6867","M8","ENSG00000100239",0.7055,3.7159,3.7491,0.9668
"6868","M8","ENSG00000260351",0.5165,-1.3502,-0.9103,0.9365
"6869","M8","ENSG00000259322",0.8984,-0.4248,-0.3636,0.9833
"6870","M8","ENSG00000169032",0.0206,5.2447,5.3786,0.7354
"6871","M8","ENSG00000111481",0.719,4.2183,4.2417,0.967
"6872","M8","ENSG00000180846",0.1891,0.5596,0.2778,0.9297
"6873","M8","ENSG00000110200",0.1739,0.6861,0.4383,0.9297
"6874","M8","ENSG00000078070",0.3587,2.9295,3.0081,0.9297
"6875","M8","ENSG00000108509",0.9616,3.2167,3.2202,0.992
"6876","M8","ENSG00000266708",0.3766,0.201,0.4774,0.9297
"6877","M8","ENSG00000223825",0.2357,-1.434,-2.2066,0.9297
"6878","M8","ENSG00000213080",0.3471,-4.493,-5.144,0.9297
"6879","M8","ENSG00000135596",0.755,4.6102,4.5872,0.97
"6880","M8","ENSG00000274654",0.4896,-0.765,-1.0465,0.9297
"6881","M8","ENSG00000170144",0.4887,5.1119,5.0404,0.9297
"6882","M8","ENSG00000250790",0.749,-3.2048,-3.3956,0.97
"6883","M8","ENSG00000186468",0.2164,6.5349,6.4071,0.9297
"6884","M8","ENSG00000119927",0.3777,0.4817,0.5692,0.9297
"6885","M8","ENSG00000162543",0.6033,-5.8836,-5.5761,0.9561
"6886","M8","ENSG00000189420",0.0238,0.6524,0.375,0.7354
"6887","M8","ENSG00000257169",0.1609,2.3397,1.9657,0.9297
"6888","M8","ENSG00000254298",0.6096,1.9139,2.0644,0.9617
"6889","M8","ENSG00000072195",0.5028,-5.57,-5.3126,0.9346
"6890","M8","ENSG00000106682",0.2374,6.9088,6.9633,0.9297
"6891","M8","ENSG00000123154",0.5813,0.698,0.5913,0.9553
"6892","M8","ENSG00000168828",0.5099,-4.1938,-4.992,0.9357
"6893","M8","ENSG00000205356",0.2553,2.1821,2.3246,0.9297
"6894","M8","ENSG00000187609",0.8007,0.0211,-0.0226,0.9765
"6895","M8","ENSG00000158006",0.2595,1.7624,1.9003,0.9297
"6896","M8","ENSG00000230266",0.4221,2.7759,2.5943,0.9297
"6897","M8","ENSG00000211937",0.0435,-4.6165,-1.169,0.8598
