"gene_compare","gene","compare","uchar"
"ENSG00000170144 D5/D6","ENSG00000170144","D5/D6",0.999579818364475
"ENSG00000170160 D5/D6","ENSG00000170160","D5/D6",20.7294213811928
"ENSG00000170270 D5/D6","ENSG00000170270","D5/D6",2.37688538592729
"ENSG00000170430 D5/D6","ENSG00000170430","D5/D6",1.5137052145346
"ENSG00000170667 D5/D6","ENSG00000170667","D5/D6",4.0115960625333
"ENSG00000170684 D5/D6","ENSG00000170684","D5/D6",2.631770969294
"ENSG00000170703 D5/D6","ENSG00000170703","D5/D6",7.11002493867546
"ENSG00000171311 D5/D6","ENSG00000171311","D5/D6",2.21123516574176
"ENSG00000171316 D5/D6","ENSG00000171316","D5/D6",2.06102143673687
"ENSG00000171467 D5/D6","ENSG00000171467","D5/D6",1.21789823827077
"ENSG00000171488 D5/D6","ENSG00000171488","D5/D6",1.64757193803747
"ENSG00000171490 D5/D6","ENSG00000171490","D5/D6",1.81944405026963
"ENSG00000171786 D5/D6","ENSG00000171786","D5/D6",3.14759166385184
"ENSG00000171793 D5/D6","ENSG00000171793","D5/D6",1.13378909285393
"ENSG00000171960 D5/D6","ENSG00000171960","D5/D6",1.1577200463225
"ENSG00000172301 D5/D6","ENSG00000172301","D5/D6",3.85877513387357
"ENSG00000172602 D5/D6","ENSG00000172602","D5/D6",4.52631244670123
"ENSG00000172965 D5/D6","ENSG00000172965","D5/D6",7.33201977706048
