"gene_compare","gene","compare","us"
"ENSG00000151353 D5/D6","ENSG00000151353","D5/D6",3.04463151948601
"ENSG00000151422 D5/D6","ENSG00000151422","D5/D6",3.04463151948601
"ENSG00000151474 D5/D6","ENSG00000151474","D5/D6",3.04463151948601
"ENSG00000151552 D5/D6","ENSG00000151552","D5/D6",3.04463151948601
"ENSG00000151611 D5/D6","ENSG00000151611","D5/D6",3.04463151948601
"ENSG00000151704 D5/D6","ENSG00000151704","D5/D6",3.04463151948601
"ENSG00000152253 D5/D6","ENSG00000152253","D5/D6",3.04463151948601
"ENSG00000152454 D5/D6","ENSG00000152454","D5/D6",3.04463151948601
"ENSG00000152778 D5/D6","ENSG00000152778","D5/D6",3.04463151948601
"ENSG00000153250 D5/D6","ENSG00000153250","D5/D6",3.04463151948601
"ENSG00000154079 D5/D6","ENSG00000154079","D5/D6",3.04463151948601
"ENSG00000154645 D5/D6","ENSG00000154645","D5/D6",3.04463151948601
"ENSG00000154978 D5/D6","ENSG00000154978","D5/D6",3.04463151948601
"ENSG00000155561 D5/D6","ENSG00000155561","D5/D6",3.04463151948601
"ENSG00000155592 D5/D6","ENSG00000155592","D5/D6",3.04463151948601
"ENSG00000155792 D5/D6","ENSG00000155792","D5/D6",3.04463151948601
"ENSG00000155970 D5/D6","ENSG00000155970","D5/D6",3.04463151948601
"ENSG00000156273 D5/D6","ENSG00000156273","D5/D6",3.04463151948601
"ENSG00000156304 D5/D6","ENSG00000156304","D5/D6",3.04463151948601
"ENSG00000156535 D5/D6","ENSG00000156535","D5/D6",3.04463151948601
"ENSG00000156970 D5/D6","ENSG00000156970","D5/D6",3.04463151948601
"ENSG00000157456 D5/D6","ENSG00000157456","D5/D6",3.04463151948601
"ENSG00000157470 D5/D6","ENSG00000157470","D5/D6",3.04463151948601
"ENSG00000157483 D5/D6","ENSG00000157483","D5/D6",3.04463151948601
"ENSG00000157510 D5/D6","ENSG00000157510","D5/D6",3.04463151948601
"ENSG00000157833 D5/D6","ENSG00000157833","D5/D6",3.04463151948601
"ENSG00000158006 D5/D6","ENSG00000158006","D5/D6",3.04463151948601
"ENSG00000158402 D5/D6","ENSG00000158402","D5/D6",3.04463151948601
"ENSG00000158815 D5/D6","ENSG00000158815","D5/D6",3.04463151948601
"ENSG00000158869 D5/D6","ENSG00000158869","D5/D6",3.04463151948601
