"","uchar","gene_compare","gene","compare"
"ENSG00000068097 M8/D6",3.97149113719497,"ENSG00000068097 M8/D6","ENSG00000068097","M8/D6"
"ENSG00000069275 D5/D6",0.744850017304212,"ENSG00000069275 D5/D6","ENSG00000069275","D5/D6"
"ENSG00000069275 F7/D6",1.27740349481467,"ENSG00000069275 F7/D6","ENSG00000069275","F7/D6"
"ENSG00000069275 M8/D6",1.53177512321393,"ENSG00000069275 M8/D6","ENSG00000069275","M8/D6"
"ENSG00000069424 D5/D6",0.563775651784129,"ENSG00000069424 D5/D6","ENSG00000069424","D5/D6"
"ENSG00000069424 F7/D6",1.04724202436619,"ENSG00000069424 F7/D6","ENSG00000069424","F7/D6"
"ENSG00000069424 M8/D6",1.91187224152307,"ENSG00000069424 M8/D6","ENSG00000069424","M8/D6"
"ENSG00000069696 D5/D6",31.1643766897489,"ENSG00000069696 D5/D6","ENSG00000069696","D5/D6"
"ENSG00000069696 F7/D6",23.4507715498505,"ENSG00000069696 F7/D6","ENSG00000069696","F7/D6"
"ENSG00000069696 M8/D6",32.6806687310513,"ENSG00000069696 M8/D6","ENSG00000069696","M8/D6"
"ENSG00000070061 D5/D6",1.46140489122017,"ENSG00000070061 D5/D6","ENSG00000070061","D5/D6"
"ENSG00000070061 F7/D6",0.938385386976476,"ENSG00000070061 F7/D6","ENSG00000070061","F7/D6"
"ENSG00000070061 M8/D6",0.804680128164548,"ENSG00000070061 M8/D6","ENSG00000070061","M8/D6"
"ENSG00000070214 D5/D6",4.68420969398822,"ENSG00000070214 D5/D6","ENSG00000070214","D5/D6"
"ENSG00000070214 F7/D6",3.67613485865389,"ENSG00000070214 F7/D6","ENSG00000070214","F7/D6"
"ENSG00000070214 M8/D6",4.06883400523068,"ENSG00000070214 M8/D6","ENSG00000070214","M8/D6"
"ENSG00000070371 D5/D6",9.46654552082529,"ENSG00000070371 D5/D6","ENSG00000070371","D5/D6"
"ENSG00000070371 F7/D6",10.1453661655518,"ENSG00000070371 F7/D6","ENSG00000070371","F7/D6"
"ENSG00000070371 M8/D6",8.99365028332961,"ENSG00000070371 M8/D6","ENSG00000070371","M8/D6"
"ENSG00000070404 D5/D6",6.71853063984508,"ENSG00000070404 D5/D6","ENSG00000070404","D5/D6"
"ENSG00000070404 F7/D6",7.22773150747781,"ENSG00000070404 F7/D6","ENSG00000070404","F7/D6"
"ENSG00000070404 M8/D6",4.55554710474963,"ENSG00000070404 M8/D6","ENSG00000070404","M8/D6"
"ENSG00000071282 D5/D6",8.00668692735406,"ENSG00000071282 D5/D6","ENSG00000071282","D5/D6"
"ENSG00000071282 F7/D6",4.19680228214,"ENSG00000071282 F7/D6","ENSG00000071282","F7/D6"
"ENSG00000071282 M8/D6",4.93001375702975,"ENSG00000071282 M8/D6","ENSG00000071282","M8/D6"
"ENSG00000071553 D5/D6",1.99171468849541,"ENSG00000071553 D5/D6","ENSG00000071553","D5/D6"
"ENSG00000071553 F7/D6",2.16730750383705,"ENSG00000071553 F7/D6","ENSG00000071553","F7/D6"
"ENSG00000071553 M8/D6",1.86096870839861,"ENSG00000071553 M8/D6","ENSG00000071553","M8/D6"
"ENSG00000072195 D5/D6",19.125670965059,"ENSG00000072195 D5/D6","ENSG00000072195","D5/D6"
"ENSG00000072195 F7/D6",15.3602244513447,"ENSG00000072195 F7/D6","ENSG00000072195","F7/D6"
"ENSG00000072195 M8/D6",13.5880594694074,"ENSG00000072195 M8/D6","ENSG00000072195","M8/D6"
"ENSG00000072694 D5/D6",0.795273284049286,"ENSG00000072694 D5/D6","ENSG00000072694","D5/D6"
"ENSG00000072694 F7/D6",0.71468524657413,"ENSG00000072694 F7/D6","ENSG00000072694","F7/D6"
"ENSG00000072694 M8/D6",0.621197433790478,"ENSG00000072694 M8/D6","ENSG00000072694","M8/D6"
"ENSG00000075073 D5/D6",13.8830418515572,"ENSG00000075073 D5/D6","ENSG00000075073","D5/D6"
"ENSG00000075073 F7/D6",6.78288803504027,"ENSG00000075073 F7/D6","ENSG00000075073","F7/D6"
