"gene_compare","log2fc_p","gene","compare"
"ENSG00000124496 D5/D6",0.652843326825268,"ENSG00000124496","D5/D6"
"ENSG00000117009 D5/D6",0.149836703634098,"ENSG00000117009","D5/D6"
"ENSG00000283202 D5/D6",0.0133351408843519,"ENSG00000283202","D5/D6"
"ENSG00000237111 D5/D6",0.646934054905907,"ENSG00000237111","D5/D6"
"ENSG00000151704 D5/D6",0.1001843992549,"ENSG00000151704","D5/D6"
"ENSG00000065154 D5/D6",0.482800674818286,"ENSG00000065154","D5/D6"
"ENSG00000254165 D5/D6",0.655909858679079,"ENSG00000254165","D5/D6"
"ENSG00000271199 D5/D6",0.311809131354571,"ENSG00000271199","D5/D6"
"ENSG00000135047 D5/D6",0.0465121130293275,"ENSG00000135047","D5/D6"
"ENSG00000115896 D5/D6",0.117153563832766,"ENSG00000115896","D5/D6"
"ENSG00000234473 D5/D6",0.121985797474335,"ENSG00000234473","D5/D6"
"ENSG00000283644 D5/D6",0.665431444982134,"ENSG00000283644","D5/D6"
"ENSG00000260286 D5/D6",0.767699443437435,"ENSG00000260286","D5/D6"
"ENSG00000260351 D5/D6",0.826553154150841,"ENSG00000260351","D5/D6"
"ENSG00000205838 D5/D6",0.644130642612024,"ENSG00000205838","D5/D6"
"ENSG00000168828 D5/D6",0.534855815646295,"ENSG00000168828","D5/D6"
"ENSG00000170667 D5/D6",0.663858034928564,"ENSG00000170667","D5/D6"
"ENSG00000235413 D5/D6",0.00440118122059431,"ENSG00000235413","D5/D6"
"ENSG00000120694 D5/D6",0.533181048980698,"ENSG00000120694","D5/D6"
"ENSG00000233347 D5/D6",0.318210251179125,"ENSG00000233347","D5/D6"
"ENSG00000157483 D5/D6",0.157421487404145,"ENSG00000157483","D5/D6"
"ENSG00000115274 D5/D6",0.915283503506266,"ENSG00000115274","D5/D6"
"ENSG00000210196 D5/D6",0.357978897665636,"ENSG00000210196","D5/D6"
"ENSG00000250471 D5/D6",0.506684064119729,"ENSG00000250471","D5/D6"
"ENSG00000213060 D5/D6",0.0536844612442883,"ENSG00000213060","D5/D6"
"ENSG00000166471 D5/D6",0.0302022547843782,"ENSG00000166471","D5/D6"
"ENSG00000153956 D5/D6",0.588512007050348,"ENSG00000153956","D5/D6"
"ENSG00000232006 D5/D6",0.353030547606054,"ENSG00000232006","D5/D6"
"ENSG00000269843 D5/D6",0.967259824406064,"ENSG00000269843","D5/D6"
"ENSG00000226107 D5/D6",0.28239313801303,"ENSG00000226107","D5/D6"
"ENSG00000107957 D5/D6",0.0983904398176855,"ENSG00000107957","D5/D6"
"ENSG00000181588 D5/D6",0.543214224655795,"ENSG00000181588","D5/D6"
"ENSG00000272927 D5/D6",0.817620415424013,"ENSG00000272927","D5/D6"
"ENSG00000174939 D5/D6",0.893008665022163,"ENSG00000174939","D5/D6"
"ENSG00000234616 D5/D6",0.793192383372052,"ENSG00000234616","D5/D6"
"ENSG00000235776 D5/D6",0.200609954413662,"ENSG00000235776","D5/D6"
"ENSG00000170509 D5/D6",0.606307498063341,"ENSG00000170509","D5/D6"
"ENSG00000249509 D5/D6",0.288074403332662,"ENSG00000249509","D5/D6"
"ENSG00000101282 D5/D6",0.0374632360066657,"ENSG00000101282","D5/D6"
"ENSG00000242607 D5/D6",0.96288325429358,"ENSG00000242607","D5/D6"
"ENSG00000274967 D5/D6",0.355271033330528,"ENSG00000274967","D5/D6"
"ENSG00000131187 D5/D6",0.510889418890798,"ENSG00000131187","D5/D6"
"ENSG00000002919 D5/D6",0.516289149495169,"ENSG00000002919","D5/D6"
"ENSG00000223356 D5/D6",0.502350687744692,"ENSG00000223356","D5/D6"
"ENSG00000280334 D5/D6",0.624693074465562,"ENSG00000280334","D5/D6"
"ENSG00000273374 D5/D6",0.942727975260541,"ENSG00000273374","D5/D6"
"ENSG00000181350 D5/D6",0.999934123255812,"ENSG00000181350","D5/D6"
