"","Var1","Freq","gene","compare","gene_compare","fc","medianp","uchar","ubb","us","uc","U"
2117,"ENSG00000198874 D5/D6",5,"ENSG00000198874","D5/D6","ENSG00000198874 D5/D6",1.11020033763092,0.0829001081297086,1.26919076204221,46.9561519796571,3.04463151948601,47.0718688285961,94.1437376571922
2120,"ENSG00000198899 D5/D6",7,"ENSG00000198899","D5/D6","ENSG00000198899 D5/D6",1.46402647400735,0.00454715512253935,3.12119418201369,1481.27054735019,3.04463151948601,1481.27696467654,2962.55392935308
2125,"ENSG00000198911 D5/D6",6,"ENSG00000198911","D5/D6","ENSG00000198911 D5/D6",1.07220903534684,0.0256564682785512,1.00017885744055,141.176537796674,3.04463151948601,141.212906503237,282.425813006474
2130,"ENSG00000203761 D5/D6",10,"ENSG00000203761","D5/D6","ENSG00000203761 D5/D6",1.32706042730427,0.000883490392677601,1.18701436360679,70.1569243187101,3.04463151948601,70.2329894995939,140.465978999188
2142,"ENSG00000203995 D5/D6",10,"ENSG00000203995","D5/D6","ENSG00000203995 D5/D6",1.74045089366236,6.3363952733435e-06,1.59537329688587,44.4560156474006,3.04463151948601,44.5887017560255,89.177403512051
2147,"ENSG00000204084 D5/D6",10,"ENSG00000204084","D5/D6","ENSG00000204084 D5/D6",0.889467256455862,0.016220858368252,1.09449731749129,35.0731981958267,3.04463151948601,35.2221086414653,70.4442172829306
2153,"ENSG00000204138 D5/D6",9,"ENSG00000204138","D5/D6","ENSG00000204138 D5/D6",1.37464586471234,4.87875972981574e-05,1.23987182826386,75.4303852162937,3.04463151948601,75.5019872395318,151.003974479064
2156,"ENSG00000204186 D5/D6",8,"ENSG00000204186","D5/D6","ENSG00000204186 D5/D6",0.840417701000391,0.0156069663142971,2.34229627393689,36.0828220938971,3.04463151948601,36.2867218577839,72.5734437155678
2159,"ENSG00000204220 D5/D6",6,"ENSG00000204220","D5/D6","ENSG00000204220 D5/D6",1.1416064274746,0.0388947926205283,0.743418390798706,37.3775748445574,3.04463151948601,37.5087396916201,75.0174793832402
2161,"ENSG00000204366 D5/D6",8,"ENSG00000204366","D5/D6","ENSG00000204366 D5/D6",1.57082774765102,0.00183190462140058,5.31076393773323,28.8322512276301,3.04463151948601,29.4749504756997,58.9499009513994
2163,"ENSG00000204386 D5/D6",5,"ENSG00000204386","D5/D6","ENSG00000204386 D5/D6",0.845210268816425,0.0537621580701395,7.20623645014044,49.2858775357925,3.04463151948601,49.9028791688207,99.8057583376414
2166,"ENSG00000204519 D5/D6",4,"ENSG00000204519","D5/D6","ENSG00000204519 D5/D6",1.41184387231051,0.0769671080432205,25.4767530934139,138.045232769411,3.04463151948601,140.409476245847,280.818952491694
2169,"ENSG00000204619 D5/D6",5,"ENSG00000204619","D5/D6","ENSG00000204619 D5/D6",0.913440768991278,0.0594505260896041,1.27125953952718,59.8280879683437,3.04463151948601,59.9189952507063,119.837990501413
2172,"ENSG00000204623 D5/D6",7,"ENSG00000204623","D5/D6","ENSG00000204623 D5/D6",1.1363611730707,0.0164000004435232,2.74178842930945,39.7826689062219,3.04463151948601,39.9930985319044,79.9861970638088
2174,"ENSG00000204634 D5/D6",9,"ENSG00000204634","D5/D6","ENSG00000204634 D5/D6",1.43673799821327,0.00141302843126189,3.39339978099239,19.3524231045378,3.04463151948601,19.8821835616749,39.7643671233498
2177,"ENSG00000204673 D5/D6",9,"ENSG00000204673","D5/D6","ENSG00000204673 D5/D6",1.39157933876677,0.000406973726007302,3.25068550678085,32.9357690869573,3.04463151948601,33.235547576395,66.47109515279
2183,"ENSG00000205089 D5/D6",8,"ENSG00000205089","D5/D6","ENSG00000205089 D5/D6",0.812526776380603,0.00946591731381226,2.39408890790846,23.8059306296584,3.04463151948601,24.1189505562022,48.2379011124044
2186,"ENSG00000205356 D5/D6",9,"ENSG00000205356","D5/D6","ENSG00000205356 D5/D6",0.74032065357402,0.000640226007005986,1.12490996423245,34.6685864838228,3.04463151948601,34.8201966149443,69.6403932298886
2189,"ENSG00000205413 D5/D6",10,"ENSG00000205413","D5/D6","ENSG00000205413 D5/D6",0.626420088050215,3.516156075268e-06,1.7318349258857,95.4242182356833,3.04463151948601,95.4884833851249,190.97696677025
2196,"ENSG00000205765 D5/D6",6,"ENSG00000205765","D5/D6","ENSG00000205765 D5/D6",1.10183840355542,0.0335793332722132,1.68403896125622,62.9360145447427,3.04463151948601,63.0321163779905,126.064232755981
2198,"ENSG00000205937 D5/D6",8,"ENSG00000205937","D5/D6","ENSG00000205937 D5/D6",1.148459333364,0.00739327719154882,0.898967449380666,37.7782698359406,3.04463151948601,37.9114177440205,75.822835488041
2204,"ENSG00000206418 D5/D6",8,"ENSG00000206418","D5/D6","ENSG00000206418 D5/D6",0.849568913909722,0.0113943278992925,1.58907297030701,72.808745443955,3.04463151948601,72.8896998698516,145.779399739703
2224,"ENSG00000210112 D5/D6",7,"ENSG00000210112","D5/D6","ENSG00000210112 D5/D6",1.43909983879479,0.00563014083196988,4.47908521384607,210.280254689805,3.04463151948601,210.349988109939,420.699976219878
2227,"ENSG00000210196 D5/D6",10,"ENSG00000210196","D5/D6","ENSG00000210196 D5/D6",1.67120708489503,0.000161075018648216,4.37503372250272,821.903214027357,3.04463151948601,821.920497329068,1643.84099465814
2233,"ENSG00000211638 D5/D6",10,"ENSG00000211638","D5/D6","ENSG00000211638 D5/D6",2.22624135815148,4.59775705260596e-05,10.1547759627785,90.3365988176516,3.04463151948601,90.9565299573648,181.91305991473
2237,"ENSG00000211891 D5/D6",9,"ENSG00000211891","D5/D6","ENSG00000211891 D5/D6",0.465795737740622,0.00114054806220009,4.73990945758368,12.2663501177378,3.04463151948601,13.4981431303148,26.9962862606296
2240,"ENSG00000211937 D5/D6",7,"ENSG00000211937","D5/D6","ENSG00000211937 D5/D6",1.4445310460304,0.00389654218029673,6.84526378184637,76.5558110331132,3.04463151948601,76.9215159774575,153.843031954915
2243,"ENSG00000212719 D5/D6",9,"ENSG00000212719","D5/D6","ENSG00000212719 D5/D6",2.57783140738949,0.0008633597196347,10.1182732078583,6.14346451181797,3.04463151948601,12.2225770607625,24.445154121525
2246,"ENSG00000213064 D5/D6",4,"ENSG00000213064","D5/D6","ENSG00000213064 D5/D6",1.05865023398764,0.26676433569456,1.36228031438728,65.4827088933199,3.04463151948601,65.5676044457298,131.13520889146
2255,"ENSG00000213860 D5/D6",6,"ENSG00000213860","D5/D6","ENSG00000213860 D5/D6",1.21738099021477,0.0213791663483883,1.88158422290385,62.5617124083872,3.04463151948601,62.6640088068668,125.328017613734
2261,"ENSG00000213928 D5/D6",4,"ENSG00000213928","D5/D6","ENSG00000213928 D5/D6",0.948283538540725,0.193094416015468,1.92459273936752,266.456593971556,3.04463151948601,266.480937984736,532.961875969472
2269,"ENSG00000214215 D5/D6",10,"ENSG00000214215","D5/D6","ENSG00000214215 D5/D6",0.392269959449682,0.00150682473625668,7.01832618786806,12.2145165123869,3.04463151948601,14.4125326435063,28.8250652870126
2275,"ENSG00000214300 D5/D6",6,"ENSG00000214300","D5/D6","ENSG00000214300 D5/D6",1.40308470247528,0.00949208436738689,20.9449924496375,19.65374119415,3.04463151948601,28.8830751951978,57.7661503903956
2278,"ENSG00000214783 D5/D6",4,"ENSG00000214783","D5/D6","ENSG00000214783 D5/D6",0.887813230996625,0.102080480771695,1.6584457562122,8.51695300976166,3.04463151948601,9.19558111193818,18.3911622238764
2283,"ENSG00000214827 D5/D6",10,"ENSG00000214827","D5/D6","ENSG00000214827 D5/D6",2.08924897856588,0.000201567820182936,4.46759182279346,22.8560221638789,3.04463151948601,23.4867389592566,46.9734779185132
2286,"ENSG00000214940 D5/D6",9,"ENSG00000214940","D5/D6","ENSG00000214940 D5/D6",1.29214054108703,0.00242639768691023,1.74801995977216,50.0390025245677,3.04463151948601,50.1620088166623,100.324017633325
2290,"ENSG00000215190 D5/D6",5,"ENSG00000215190","D5/D6","ENSG00000215190 D5/D6",1.17307332402024,0.0473745752301408,2.36087733439881,49.3947909425282,3.04463151948601,49.544817036029,99.089634072058
2293,"ENSG00000215347 D5/D6",4,"ENSG00000215347","D5/D6","ENSG00000215347 D5/D6",0.729159922485231,0.12016338415539,8.73456192383532,11.2751031236589,3.04463151948601,14.5839056339481,29.1678112678962
2296,"ENSG00000215493 D5/D6",7,"ENSG00000215493","D5/D6","ENSG00000215493 D5/D6",1.23425222411158,0.0302731368763951,2.42092174620368,21.4687199018051,3.04463151948601,21.818262474653,43.636524949306
2308,"ENSG00000217801 D5/D6",9,"ENSG00000217801","D5/D6","ENSG00000217801 D5/D6",0.699064288948053,0.000789638278105079,3.3199935607193,30.0815092671416,3.04463151948601,30.416925191771,60.833850383542
2314,"ENSG00000218891 D5/D6",5,"ENSG00000218891","D5/D6","ENSG00000218891 D5/D6",1.37778278742656,0.0444253497559471,16.9918558223413,42.9962766962006,3.04463151948601,46.332199981362,92.664399962724
2318,"ENSG00000220201 D5/D6",7,"ENSG00000220201","D5/D6","ENSG00000220201 D5/D6",1.3819077357099,0.00749047160936544,2.69963870425576,19.8541294438717,3.04463151948601,20.2668272355832,40.5336544711664
2320,"ENSG00000220614 D5/D6",6,"ENSG00000220614","D5/D6","ENSG00000220614 D5/D6",0.7170196808427,0.0380143421738168,2.32382189916466,181.086842043575,3.04463151948601,181.127342747094,362.254685494188
2324,"ENSG00000222009 D5/D6",6,"ENSG00000222009","D5/D6","ENSG00000222009 D5/D6",0.600924949143973,0.0251457264531878,10.8086046977331,10.5312955410792,3.04463151948601,15.3949310610623,30.7898621221246
2327,"ENSG00000222389 D5/D6",8,"ENSG00000222389","D5/D6","ENSG00000222389 D5/D6",0.340857764089071,0.0102992446629767,11.6335564282872,42.5026463825572,3.04463151948601,44.1710806499037,88.3421612998074
2335,"ENSG00000223705 D5/D6",10,"ENSG00000223705","D5/D6","ENSG00000223705 D5/D6",1.37240381036109,3.20001251886727e-05,1.92257060660861,26.9928293969303,3.04463151948601,27.2319462704858,54.4638925409716
